name,                           tag,            code,           status,    description
identity,                       multihash,0,           permanent, raw binary
cidv1,                          ipld,1,           permanent,CIDv1
cidv2,                          ipld,2,           draft,CIDv2
cidv3,                          ipld,3,           draft,CIDv3
ip4,                            multiaddr,4,           permanent,
tcp,                            multiaddr,6,           permanent,
sha1,                           multihash,11,           permanent,
sha2-256,                       multihash,12,           permanent,
sha2-512,                       multihash,13,           permanent,
sha3-512,                       multihash,14,           permanent,
sha3-384,                       multihash,15,           permanent,
sha3-256,                       multihash,16,           permanent,
sha3-224,                       multihash,17,           permanent,
shake-128,                      multihash,18,           draft,
shake-256,                      multihash,19,           draft,
keccak-224,                     multihash,1A,           draft,     keccak has variable output length. The number specifies the core length
keccak-256,                     multihash,1B,           draft,
keccak-384,                     multihash,1C,           draft,
keccak-512,                     multihash,1D,           draft,
blake3,                         multihash,1E,           draft,BLAKE3 has a default 32 byte output length. The maximum length is (2^64)-1 bytes.
dccp,                           multiaddr,21,           draft,
murmur3-128,                    multihash,22,           draft,
murmur3-32,                     multihash,23,           draft,
ip6,                            multiaddr,29,           permanent,
ip6zone,                        multiaddr,2A,           draft,
path,                           namespace,2F,           permanent, Namespace for string paths. Corresponds to `/` in ASCII.
multicodec,                     multiformat,30,           draft,
multihash,                      multiformat,31,           draft,
multiaddr,                      multiformat,32,           draft,
multibase,                      multiformat,33,           draft,
dns,                            multiaddr,35,           permanent,
dns4,                           multiaddr,36,           permanent,
dns6,                           multiaddr,37,           permanent,
dnsaddr,                        multiaddr,38,           permanent,
protobuf,                       serialization,50,           draft,     Protocol Buffers
cbor,                           serialization,51,           permanent, CBOR
raw,                            ipld,55,           permanent, raw binary
dbl-sha2-256,                   multihash,56,           draft,
rlp,                            serialization,60,           draft,     recursive length prefix
bencode,                        serialization,63,           draft,     bencode
dag-pb,                         ipld,70,           permanent, MerkleDAG protobuf
dag-cbor,                       ipld,71,           permanent, MerkleDAG cbor
libp2p-key,                     ipld,72,           permanent,Libp2p Public Key
git-raw,                        ipld,78,           permanent, Raw Git object
torrent-info,                   ipld,7B,           draft,     Torrent file info field (bencoded)
torrent-file,                   ipld,7C,           draft,     Torrent file (bencoded)
leofcoin-block,                 ipld,81,           draft,     Leofcoin Block
leofcoin-tx,                    ipld,82,           draft,     Leofcoin Transaction
leofcoin-pr,                    ipld,83,           draft,     Leofcoin Peer Reputation
sctp,                           multiaddr,84,           draft,
dag-jose,                       ipld,85,           draft,     MerkleDAG JOSE
dag-cose,                       ipld,86,           draft,     MerkleDAG COSE
eth-block,                      ipld,90,           permanent, Ethereum Block (RLP)
eth-block-list,                 ipld,91,           permanent, Ethereum Block List (RLP)
eth-tx-trie,                    ipld,92,           permanent, Ethereum Transaction Trie (Eth-Trie)
